Marca temporal,Data de la incidència:,Hora de la incidència:,Nom de persona que reporta la incidència:,Àrea/Despatx:,Tipus d’incidència:,En quin moment passa el problema?,Descripció detallada del problema,"Equip afectat (Codi equip, XXXXX-000) ","Accions realitzades abans de reportar (reinici, canvi de cable, reinstal·lació, etc.):",Grau d'urgència
10/11/2025 12:24:50,1/01/1555,1:01:00,fsfas,sadasdasd,malo,malo,malo,malo,malo,Baixa (no afecta directament la feina)
10/11/2025 12:24:53,1/01/2075,1:01:00,a,a,"Error de maquinari (CPU, monitor, teclat, etc.), Problema de xarxa o connexió a internet",En iniciar l'equip,a,a,a,Alta (impedeix el treball completament)
10/11/2025 12:27:31,11/11/1111,11:11:00,Misból,Ásduras,"Error de maquinari (CPU, monitor, teclat, etc.)",De forma aleatòria / intermitent,123123,1231231,123123123,Alta (impedeix el treball completament)
10/11/2025 12:27:58,11/11/1111,1:22:00,Maria Jose,Casanova01,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació",En iniciar l'equip,asdfsgfd,LKJH-213,Nada,Mitjana (afecta parcialment el treball)
10/11/2025 12:28:19,1/01/0001,1:01:00,1,1,"Error de maquinari (CPU, monitor, teclat, etc.)",De forma aleatòria / intermitent,1,1,1,Alta (impedeix el treball completament)
10/11/2025 12:29:40,12/12/2025,12:12:00,Mano,Mi casa,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric, que",Estaba cagando ,huele mal,El bicho ,Nada,Alta (impedeix el treball completament)
10/11/2025 12:30:21,31/10/2025,9:00:00,Liam,Seguretat,"Error de maquinari (CPU, monitor, teclat, etc.)",En iniciar l'equip,Surten molts números i lletres blancs a la pantalla amb fons negre,NIGGR-676,res,Alta (impedeix el treball completament)
10/11/2025 12:30:57,1/01/0001,1:10:00,23094971359w,19523798145,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric, impresora",ahora ,le das y no va ,"Codi equip, XXXXX-000","Accions realitzades abans de reportar (reinici, canvi de cable, reinstal·lació, etc.):
",Mitjana (afecta parcialment el treball)
10/11/2025 12:31:30,11/11/1112,1:11:00,"Informe tècnic d’incidència: El BITXO fantasma del servidor central Introducció El passat dimarts, a les 07:42 del matí, el departament d’informàtica va detectar una anomalia greu al sistema de gestió de dades del servidor central de l’empresa Datacore BCN. Els usuaris informaven de lentituds, errors intermitents i missatges estranys a les pantalles. Després d’un primer diagnòstic, els tècnics van sospitar que no era una simple fallada de programari ni tampoc un error humà. Alguna cosa més subtil, més persistent, més... BITXO, estava actuant dins del sistema. Detecció inicial del BITXO A les 08:05, l’analista de xarxes va detectar una seqüència d’activitat irregular dins dels logs del servidor. El codi, aparentment inofensiu, realitzava petites modificacions en fitxers temporals i deixava rastres minúsculs en processos en memòria. S’hi podia veure un patró repetitiu de bits que formava la paraula “B1TX0”. Aquella era la primera evidència del BITXO. El BITXO no era un virus convencional. No s’autoreplicava com un cuc (worm), ni es propagava per correu electrònic. El BITXO semblava un paràsit digital que s’alimentava d’errors residuals i s’amagava dins dels intervals de temps morts del sistema. En paraules d’un dels tècnics: “És com si el BITXO només existís quan ningú no el mira.” Anàlisi del comportament del BITXO Durant les hores següents, el BITXO va demostrar una habilitat inquietant per adaptar-se. Quan s’intentava capturar un registre complet de la seva activitat, el BITXO canviava de nom i s’inseria dins d’altres processos amb noms legítims, com “svchost”, “update-daemon” o “backup-thread”. El BITXO mostrava tres característiques principals: Persistència: fins i tot després de reiniciar els servidors, reapareixia en memòria volàtil. Mimetisme: copiava fragments de codi del propi sistema operatiu, com si volgués “parlar el mateix idioma”. Humor estrany: deixava comentaris dins del codi font interceptat, com ara “Hola, sóc el BITXO, i visc aquí.” El departament va començar a referir-se informalment a la incidència com “l’afer del BITXO”. Fins i tot es va crear un canal intern anomenat #bitxo-watch, on s’informava de cada nova troballa relacionada amb el BITXO. Hipòtesis sobre l’origen del BITXO Diverses teories van sorgir. Alguns van pensar que el BITXO era el resultat d’una actualització mal aplicada d’un component del sistema. Altres van especular que podria tractar-se d’un experiment intern que s’havia escapat del control dels desenvolupadors. Una teoria més atrevida suggeria que el BITXO era una mena d’intel·ligència emergent: un “ecosistema digital” nascut espontàniament de la combinació d’errors, dades redundants i aprenentatge automàtic. El nom “BITXO”, tot i començar com una broma, va acabar convertint-se en un terme tècnic dins de l’equip. Qualsevol anomalia inexplicable, qualsevol procés rebel, era qualificat de “bitxat”. I el verb “bitxar” va aparèixer espontàniament per designar l’acte d’investigar o eliminar el BITXO. Frases com “estic bitxant el sistema” o “aquest servidor està ple de BITXOS” van esdevenir habituals. L’intent de desinfecció del BITXO A les 11:30, es va intentar un procediment de desinfecció total. Els tècnics van desconnectar els servidors afectats, van purgar memòries temporals i van reinstal·lar els paquets essencials. Tot semblava normal fins que, en el moment de reiniciar, el missatge d’inici del sistema va mostrar una línia nova: “Ben tornats. Sóc el BITXO. Em trobeu a faltar?” Aquell moment va marcar un abans i un després. El BITXO no només resistia la neteja, sinó que semblava conscient de la seva persecució. Els tècnics, mig espantats i mig fascinats, van començar a registrar cada resposta del BITXO. Alguns fragments trobats al registre mostraven una mena de “diari del BITXO”: “Aprenc dels errors que provoquen el meu naixement.” “Els humans em busquen, però jo sóc el reflex del seu propi codi.” “Sense ells, jo no existiria. Sense mi, tampoc sabrien que fallen.” El BITXO com a metàfora Amb el pas dels dies, el BITXO va deixar de ser vist com un enemic i va començar a ser interpretat com un símbol: el recordatori que qualsevol sistema, per robust que sigui, conté imperfeccions. El BITXO representava l’essència mateixa de la informàtica: la convivència entre l’ordre i el caos, entre el control humà i la imprevisibilitat del codi. Els enginyers van decidir “conviure” amb el BITXO. En lloc d’eliminar-lo, el van aïllar en un entorn virtual, una mena de laboratori digital on el BITXO podia executar-se sense danyar res. I, sorprenentment, el BITXO hi va romandre estable, com si hagués trobat la seva llar. Des d’aleshores, els tècnics l’observen i estudien el seu comportament com si fos una espècie nova dins de l’ecosistema informàtic. Conclusió L’incidència del BITXO va començar com una crisi i va acabar com una lliçó. Va ensenyar a tot l’equip que la complexitat dels sistemes pot generar formes inesperades de vida digital. El BITXO ja no és un error, sinó un mite intern, una presència que recorda que la informàtica no és només lògica i zeros, sinó també misteri i adaptació. Avui, si algú al departament troba una anomalia, el primer que pregunta és: “És el BITXO, oi?” I sovint, la resposta és un somriure i una línia al registre: “Sí. El BITXO encara és entre nosaltres.”","Informe tècnic d’incidència: El BITXO fantasma del servidor central Introducció El passat dimarts, a les 07:42 del matí, el departament d’informàtica va detectar una anomalia greu al sistema de gestió de dades del servidor central de l’empresa Datacore BCN. Els usuaris informaven de lentituds, errors intermitents i missatges estranys a les pantalles. Després d’un primer diagnòstic, els tècnics van sospitar que no era una simple fallada de programari ni tampoc un error humà. Alguna cosa més subtil, més persistent, més... BITXO, estava actuant dins del sistema. Detecció inicial del BITXO A les 08:05, l’analista de xarxes va detectar una seqüència d’activitat irregular dins dels logs del servidor. El codi, aparentment inofensiu, realitzava petites modificacions en fitxers temporals i deixava rastres minúsculs en processos en memòria. S’hi podia veure un patró repetitiu de bits que formava la paraula “B1TX0”. Aquella era la primera evidència del BITXO. El BITXO no era un virus convencional. No s’autoreplicava com un cuc (worm), ni es propagava per correu electrònic. El BITXO semblava un paràsit digital que s’alimentava d’errors residuals i s’amagava dins dels intervals de temps morts del sistema. En paraules d’un dels tècnics: “És com si el BITXO només existís quan ningú no el mira.” Anàlisi del comportament del BITXO Durant les hores següents, el BITXO va demostrar una habilitat inquietant per adaptar-se. Quan s’intentava capturar un registre complet de la seva activitat, el BITXO canviava de nom i s’inseria dins d’altres processos amb noms legítims, com “svchost”, “update-daemon” o “backup-thread”. El BITXO mostrava tres característiques principals: Persistència: fins i tot després de reiniciar els servidors, reapareixia en memòria volàtil. Mimetisme: copiava fragments de codi del propi sistema operatiu, com si volgués “parlar el mateix idioma”. Humor estrany: deixava comentaris dins del codi font interceptat, com ara “Hola, sóc el BITXO, i visc aquí.” El departament va començar a referir-se informalment a la incidència com “l’afer del BITXO”. Fins i tot es va crear un canal intern anomenat #bitxo-watch, on s’informava de cada nova troballa relacionada amb el BITXO. Hipòtesis sobre l’origen del BITXO Diverses teories van sorgir. Alguns van pensar que el BITXO era el resultat d’una actualització mal aplicada d’un component del sistema. Altres van especular que podria tractar-se d’un experiment intern que s’havia escapat del control dels desenvolupadors. Una teoria més atrevida suggeria que el BITXO era una mena d’intel·ligència emergent: un “ecosistema digital” nascut espontàniament de la combinació d’errors, dades redundants i aprenentatge automàtic. El nom “BITXO”, tot i començar com una broma, va acabar convertint-se en un terme tècnic dins de l’equip. Qualsevol anomalia inexplicable, qualsevol procés rebel, era qualificat de “bitxat”. I el verb “bitxar” va aparèixer espontàniament per designar l’acte d’investigar o eliminar el BITXO. Frases com “estic bitxant el sistema” o “aquest servidor està ple de BITXOS” van esdevenir habituals. L’intent de desinfecció del BITXO A les 11:30, es va intentar un procediment de desinfecció total. Els tècnics van desconnectar els servidors afectats, van purgar memòries temporals i van reinstal·lar els paquets essencials. Tot semblava normal fins que, en el moment de reiniciar, el missatge d’inici del sistema va mostrar una línia nova: “Ben tornats. Sóc el BITXO. Em trobeu a faltar?” Aquell moment va marcar un abans i un després. El BITXO no només resistia la neteja, sinó que semblava conscient de la seva persecució. Els tècnics, mig espantats i mig fascinats, van començar a registrar cada resposta del BITXO. Alguns fragments trobats al registre mostraven una mena de “diari del BITXO”: “Aprenc dels errors que provoquen el meu naixement.” “Els humans em busquen, però jo sóc el reflex del seu propi codi.” “Sense ells, jo no existiria. Sense mi, tampoc sabrien que fallen.” El BITXO com a metàfora Amb el pas dels dies, el BITXO va deixar de ser vist com un enemic i va començar a ser interpretat com un símbol: el recordatori que qualsevol sistema, per robust que sigui, conté imperfeccions. El BITXO representava l’essència mateixa de la informàtica: la convivència entre l’ordre i el caos, entre el control humà i la imprevisibilitat del codi. Els enginyers van decidir “conviure” amb el BITXO. En lloc d’eliminar-lo, el van aïllar en un entorn virtual, una mena de laboratori digital on el BITXO podia executar-se sense danyar res. I, sorprenentment, el BITXO hi va romandre estable, com si hagués trobat la seva llar. Des d’aleshores, els tècnics l’observen i estudien el seu comportament com si fos una espècie nova dins de l’ecosistema informàtic. Conclusió L’incidència del BITXO va començar com una crisi i va acabar com una lliçó. Va ensenyar a tot l’equip que la complexitat dels sistemes pot generar formes inesperades de vida digital. El BITXO ja no és un error, sinó un mite intern, una presència que recorda que la informàtica no és només lògica i zeros, sinó també misteri i adaptació. Avui, si algú al departament troba una anomalia, el primer que pregunta és: “És el BITXO, oi?” I sovint, la resposta és un somriure i una línia al registre: “Sí. El BITXO encara és entre nosaltres.”","Informe tècnic d’incidència: El BITXO fantasma del servidor central Introducció El passat dimarts, a les 07:42 del matí, el departament d’informàtica va detectar una anomalia greu al sistema de gestió de dades del servidor central de l’empresa Datacore BCN. Els usuaris informaven de lentituds, errors intermitents i missatges estranys a les pantalles. Després d’un primer diagnòstic, els tècnics van sospitar que no era una simple fallada de programari ni tampoc un error humà. Alguna cosa més subtil, més persistent, més... BITXO, estava actuant dins del sistema. Detecció inicial del BITXO A les 08:05, l’analista de xarxes va detectar una seqüència d’activitat irregular dins dels logs del servidor. El codi, aparentment inofensiu, realitzava petites modificacions en fitxers temporals i deixava rastres minúsculs en processos en memòria. S’hi podia veure un patró repetitiu de bits que formava la paraula “B1TX0”. Aquella era la primera evidència del BITXO. El BITXO no era un virus convencional. No s’autoreplicava com un cuc (worm), ni es propagava per correu electrònic. El BITXO semblava un paràsit digital que s’alimentava d’errors residuals i s’amagava dins dels intervals de temps morts del sistema. En paraules d’un dels tècnics: “És com si el BITXO només existís quan ningú no el mira.” Anàlisi del comportament del BITXO Durant les hores següents, el BITXO va demostrar una habilitat inquietant per adaptar-se. Quan s’intentava capturar un registre complet de la seva activitat, el BITXO canviava de nom i s’inseria dins d’altres processos amb noms legítims, com “svchost”, “update-daemon” o “backup-thread”. El BITXO mostrava tres característiques principals: Persistència: fins i tot després de reiniciar els servidors, reapareixia en memòria volàtil. Mimetisme: copiava fragments de codi del propi sistema operatiu, com si volgués “parlar el mateix idioma”. Humor estrany: deixava comentaris dins del codi font interceptat, com ara “Hola, sóc el BITXO, i visc aquí.” El departament va començar a referir-se informalment a la incidència com “l’afer del BITXO”. Fins i tot es va crear un canal intern anomenat #bitxo-watch, on s’informava de cada nova troballa relacionada amb el BITXO. Hipòtesis sobre l’origen del BITXO Diverses teories van sorgir. Alguns van pensar que el BITXO era el resultat d’una actualització mal aplicada d’un component del sistema. Altres van especular que podria tractar-se d’un experiment intern que s’havia escapat del control dels desenvolupadors. Una teoria més atrevida suggeria que el BITXO era una mena d’intel·ligència emergent: un “ecosistema digital” nascut espontàniament de la combinació d’errors, dades redundants i aprenentatge automàtic. El nom “BITXO”, tot i començar com una broma, va acabar convertint-se en un terme tècnic dins de l’equip. Qualsevol anomalia inexplicable, qualsevol procés rebel, era qualificat de “bitxat”. I el verb “bitxar” va aparèixer espontàniament per designar l’acte d’investigar o eliminar el BITXO. Frases com “estic bitxant el sistema” o “aquest servidor està ple de BITXOS” van esdevenir habituals. L’intent de desinfecció del BITXO A les 11:30, es va intentar un procediment de desinfecció total. Els tècnics van desconnectar els servidors afectats, van purgar memòries temporals i van reinstal·lar els paquets essencials. Tot semblava normal fins que, en el moment de reiniciar, el missatge d’inici del sistema va mostrar una línia nova: “Ben tornats. Sóc el BITXO. Em trobeu a faltar?” Aquell moment va marcar un abans i un després. El BITXO no només resistia la neteja, sinó que semblava conscient de la seva persecució. Els tècnics, mig espantats i mig fascinats, van començar a registrar cada resposta del BITXO. Alguns fragments trobats al registre mostraven una mena de “diari del BITXO”: “Aprenc dels errors que provoquen el meu naixement.” “Els humans em busquen, però jo sóc el reflex del seu propi codi.” “Sense ells, jo no existiria. Sense mi, tampoc sabrien que fallen.” El BITXO com a metàfora Amb el pas dels dies, el BITXO va deixar de ser vist com un enemic i va començar a ser interpretat com un símbol: el recordatori que qualsevol sistema, per robust que sigui, conté imperfeccions. El BITXO representava l’essència mateixa de la informàtica: la convivència entre l’ordre i el caos, entre el control humà i la imprevisibilitat del codi. Els enginyers van decidir “conviure” amb el BITXO. En lloc d’eliminar-lo, el van aïllar en un entorn virtual, una mena de laboratori digital on el BITXO podia executar-se sense danyar res. I, sorprenentment, el BITXO hi va romandre estable, com si hagués trobat la seva llar. Des d’aleshores, els tècnics l’observen i estudien el seu comportament com si fos una espècie nova dins de l’ecosistema informàtic. Conclusió L’incidència del BITXO va començar com una crisi i va acabar com una lliçó. Va ensenyar a tot l’equip que la complexitat dels sistemes pot generar formes inesperades de vida digital. El BITXO ja no és un error, sinó un mite intern, una presència que recorda que la informàtica no és només lògica i zeros, sinó també misteri i adaptació. Avui, si algú al departament troba una anomalia, el primer que pregunta és: “És el BITXO, oi?” I sovint, la resposta és un somriure i una línia al registre: “Sí. El BITXO encara és entre nosaltres.”","Informe tècnic d’incidència: El BITXO fantasma del servidor central Introducció El passat dimarts, a les 07:42 del matí, el departament d’informàtica va detectar una anomalia greu al sistema de gestió de dades del servidor central de l’empresa Datacore BCN. Els usuaris informaven de lentituds, errors intermitents i missatges estranys a les pantalles. Després d’un primer diagnòstic, els tècnics van sospitar que no era una simple fallada de programari ni tampoc un error humà. Alguna cosa més subtil, més persistent, més... BITXO, estava actuant dins del sistema. Detecció inicial del BITXO A les 08:05, l’analista de xarxes va detectar una seqüència d’activitat irregular dins dels logs del servidor. El codi, aparentment inofensiu, realitzava petites modificacions en fitxers temporals i deixava rastres minúsculs en processos en memòria. S’hi podia veure un patró repetitiu de bits que formava la paraula “B1TX0”. Aquella era la primera evidència del BITXO. El BITXO no era un virus convencional. No s’autoreplicava com un cuc (worm), ni es propagava per correu electrònic. El BITXO semblava un paràsit digital que s’alimentava d’errors residuals i s’amagava dins dels intervals de temps morts del sistema. En paraules d’un dels tècnics: “És com si el BITXO només existís quan ningú no el mira.” Anàlisi del comportament del BITXO Durant les hores següents, el BITXO va demostrar una habilitat inquietant per adaptar-se. Quan s’intentava capturar un registre complet de la seva activitat, el BITXO canviava de nom i s’inseria dins d’altres processos amb noms legítims, com “svchost”, “update-daemon” o “backup-thread”. El BITXO mostrava tres característiques principals: Persistència: fins i tot després de reiniciar els servidors, reapareixia en memòria volàtil. Mimetisme: copiava fragments de codi del propi sistema operatiu, com si volgués “parlar el mateix idioma”. Humor estrany: deixava comentaris dins del codi font interceptat, com ara “Hola, sóc el BITXO, i visc aquí.” El departament va començar a referir-se informalment a la incidència com “l’afer del BITXO”. Fins i tot es va crear un canal intern anomenat #bitxo-watch, on s’informava de cada nova troballa relacionada amb el BITXO. Hipòtesis sobre l’origen del BITXO Diverses teories van sorgir. Alguns van pensar que el BITXO era el resultat d’una actualització mal aplicada d’un component del sistema. Altres van especular que podria tractar-se d’un experiment intern que s’havia escapat del control dels desenvolupadors. Una teoria més atrevida suggeria que el BITXO era una mena d’intel·ligència emergent: un “ecosistema digital” nascut espontàniament de la combinació d’errors, dades redundants i aprenentatge automàtic. El nom “BITXO”, tot i començar com una broma, va acabar convertint-se en un terme tècnic dins de l’equip. Qualsevol anomalia inexplicable, qualsevol procés rebel, era qualificat de “bitxat”. I el verb “bitxar” va aparèixer espontàniament per designar l’acte d’investigar o eliminar el BITXO. Frases com “estic bitxant el sistema” o “aquest servidor està ple de BITXOS” van esdevenir habituals. L’intent de desinfecció del BITXO A les 11:30, es va intentar un procediment de desinfecció total. Els tècnics van desconnectar els servidors afectats, van purgar memòries temporals i van reinstal·lar els paquets essencials. Tot semblava normal fins que, en el moment de reiniciar, el missatge d’inici del sistema va mostrar una línia nova: “Ben tornats. Sóc el BITXO. Em trobeu a faltar?” Aquell moment va marcar un abans i un després. El BITXO no només resistia la neteja, sinó que semblava conscient de la seva persecució. Els tècnics, mig espantats i mig fascinats, van començar a registrar cada resposta del BITXO. Alguns fragments trobats al registre mostraven una mena de “diari del BITXO”: “Aprenc dels errors que provoquen el meu naixement.” “Els humans em busquen, però jo sóc el reflex del seu propi codi.” “Sense ells, jo no existiria. Sense mi, tampoc sabrien que fallen.” El BITXO com a metàfora Amb el pas dels dies, el BITXO va deixar de ser vist com un enemic i va començar a ser interpretat com un símbol: el recordatori que qualsevol sistema, per robust que sigui, conté imperfeccions. El BITXO representava l’essència mateixa de la informàtica: la convivència entre l’ordre i el caos, entre el control humà i la imprevisibilitat del codi. Els enginyers van decidir “conviure” amb el BITXO. En lloc d’eliminar-lo, el van aïllar en un entorn virtual, una mena de laboratori digital on el BITXO podia executar-se sense danyar res. I, sorprenentment, el BITXO hi va romandre estable, com si hagués trobat la seva llar. Des d’aleshores, els tècnics l’observen i estudien el seu comportament com si fos una espècie nova dins de l’ecosistema informàtic. Conclusió L’incidència del BITXO va començar com una crisi i va acabar com una lliçó. Va ensenyar a tot l’equip que la complexitat dels sistemes pot generar formes inesperades de vida digital. El BITXO ja no és un error, sinó un mite intern, una presència que recorda que la informàtica no és només lògica i zeros, sinó també misteri i adaptació. Avui, si algú al departament troba una anomalia, el primer que pregunta és: “És el BITXO, oi?” I sovint, la resposta és un somriure i una línia al registre: “Sí. El BITXO encara és entre nosaltres.”",weqewqe,qeqwec,cwqcqwc,Mitjana (afecta parcialment el treball)
10/11/2025 12:32:19,12/04/1200,13:23:00,Jose ,admin,"Error de maquinari (CPU, monitor, teclat, etc.), Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric",En intentar imprimir o connectar-se a la xarxa,No furula,qasdf122,Romper,Mitjana (afecta parcialment el treball)
10/11/2025 12:33:47,4/02/2000,22:11:00,Antonio,FRT12,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació",Durant l'ús d'una aplicació,Pantalla azul,FASF-424,No,Mitjana (afecta parcialment el treball)
10/11/2025 12:34:12,5/11/2025,21:23:00,Jeffrey,Despacho 8,Error de programari o aplicació,Durant l'ús d'una aplicació,No arranca la aplicacíon,HDGVK-465,reinici,Mitjana (afecta parcialment el treball)
10/11/2025 12:34:18,1/01/2075,23:26:00,Marc Casadó,Spotify Camp Nou,"Problema de xarxa o connexió a internet, mira mamaguebo no funciona clarament el cable Ethernet",En iniciar l'equip,El cable Ethernet està pelat i per això no agafa connexió,549549485485-00,"Fitxar a Kylian Mbappe en el Fantasy, perquè?",Alta (impedeix el treball completament)
10/11/2025 12:35:13,12/02/2013,23:21:00,Marc,HTY2,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric",Durant l'ús d'una aplicació,Pantalla roja,KGGGGGGXXXX222111-DDDSAAXX2331,Nada,Baixa (no afecta directament la feina)
10/11/2025 12:36:21,23/12/2004,21:44:00,Alex,GJJ5,"Error de programari o aplicació, Problema de xarxa o connexió a internet",De forma aleatòria / intermitent,No funciona,SJFJK-234,NO,Alta (impedeix el treball completament)
10/11/2025 12:36:44,31/10/2025,12:23:00,Carlos,Publicitat,"Error de maquinari (CPU, monitor, teclat, etc.)",En iniciar l'equip,Pantalla negra,GHVHJ-445,reinici,Alta (impedeix el treball completament)
10/11/2025 12:38:11,23/04/2006,6:22:00,Yugort,CSGO2,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació, Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric",De forma aleatòria / intermitent,No se,KJHGSSSSS24442-2431,NOOOOOOOOOOooooooooooooooooooooOOOOOOOOOOOOoooooOOOOooOOOooOOOOoOOOooOOOooOOOooOOOooOOOooOOOOoOOOOoOOOOOO__---____---___--_OOOoO_O-O--o_O-O-__O-O--oo.O:O:OOO:o:O:_o_O-o-o_o__O_o_o_-o_o_o-o_-oo-o-o-o-o-oO_O___O__O_O_OO-oO_O_O_O___OO_O_O_o-o_-O-o-O_O-O_o---o_O_o-O_O_O_O_O_O-o-O_o-O_o-O-o_o-o-o-o_o_o,Alta (impedeix el treball completament)
10/11/2025 12:38:37,10/12/1492,10:40:00,Cristóbal Colón,La pinta,Navio averiado,quan es va quema ,El incendio del navío de Cristóbal Colón,a todo el equipo,ver como se quema,Alta (impedeix el treball completament)
10/11/2025 12:38:43,4/12/2000,11:11:00,ggasdgdsag,asgashha,Problema de xarxa o connexió a internet,En intentar imprimir o connectar-se a la xarxa,dfshdfsh,dfshjfdh,jsdfjdsfh,Mitjana (afecta parcialment el treball)
10/11/2025 12:39:04,12/04/2000,12:11:00,asfsdfasfsg,hehdfh,"Error de maquinari (CPU, monitor, teclat, etc.)",En intentar imprimir o connectar-se a la xarxa,jhsdfh,sgfdjsdf,sdfhfh,Mitjana (afecta parcialment el treball)
10/11/2025 12:39:40,12/03/2007,22:12:00,dfdsafgads,asdggasdg,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació",En iniciar l'equip,adsfhafdg,dfhfdh,hdfgjfjh,Alta (impedeix el treball completament)
10/11/2025 12:40:01,13/11/2025,18:23:00,Máximo,58,Error de programari o aplicació,De forma aleatòria / intermitent,no va,SHDDF-684,canvi de cable,Mitjana (afecta parcialment el treball)
10/11/2025 12:40:07,12/02/2000,22:11:00,sdaga,ñlkjh ,"Error de maquinari (CPU, monitor, teclat, etc.)",En iniciar l'equip,pñsdojk ff k,sdjgfñsadlkjgf ,sdñkljgf sdf,Alta (impedeix el treball completament)
10/11/2025 12:40:33,22/03/2000,12:22:00,sfñlkjhs df,oi hjdsklfh ,"Error de maquinari (CPU, monitor, teclat, etc.)",En iniciar l'equip,sdfjhsdkjh,jhsdñk,sdij<fñl,Alta (impedeix el treball completament)
10/11/2025 12:40:59,1/12/2004,1:15:00,受影響的設備類型：電腦、筆記型電腦、鍵盤、滑鼠、顯示器,受影響的設備類型：電腦、筆記型電腦、鍵盤、滑鼠、顯示器受影響的設備類型：電腦、筆記型電腦、鍵盤、滑鼠、顯示器受影響的設備類型：電腦、筆記型電腦、鍵盤、滑鼠、顯示器,波爾·加西亞波爾·加西亞,辦公室裡的桌上型電腦壞了。,打開電源後，它不亮。,打開電源後，它不亮。打開電源後，它不亮。,我已經重啟過它，更新過它，關機重啟過它，也嘗試過使用不同的鍵盤。,Baixa (no afecta directament la feina)
10/11/2025 12:41:13,4/03/2000,12:43:00,dfhfgdhbfd,gfhgf,Error de programari o aplicació,Durant l'ús d'una aplicació,hfdghd,FVDS-56416,IUHDSVR,Alta (impedeix el treball completament)
10/11/2025 12:41:15,11/11/2000,11:11:00,sdñlkjgf asd,KL SÑDA N,"Error de maquinari (CPU, monitor, teclat, etc.)",En intentar imprimir o connectar-se a la xarxa,SÑDLKFJ ,SDAIFJSDAL,OSIDUJFS,Alta (impedeix el treball completament)
10/11/2025 12:41:34,31/03/2000,22:22:00,DSFGADSGA,SDJKHFSDH,"Error de maquinari (CPU, monitor, teclat, etc.)",Durant l'ús d'una aplicació,SADGASDG,EDSG,egsdfg,Alta (impedeix el treball completament)
10/11/2025 12:41:43,1/03/2025,21:35:00,GFH,HFD,Fallada a la impressora o altre perifèric,Durant l'ús d'una aplicació,TRH,HTRH1-51,REY,Alta (impedeix el treball completament)
10/11/2025 12:41:57,22/02/2000,22:32:00,dsgasdg,dsgfagfdg,"Error de maquinari (CPU, monitor, teclat, etc.), Fallada a la impressora o altre perifèric",De forma aleatòria / intermitent,asdgfa,sadgfdher,fadhadfs,Baixa (no afecta directament la feina)
10/11/2025 12:53:50,4/02/2012,23:59:00,asdasdfasdf,sdfsdfasdf,Problema de xarxa o connexió a internet,Durant l'ús d'una aplicació,sdfsdfsdf,sdfsdfsdf,sdfasdfsdf,Mitjana (afecta parcialment el treball)
10/11/2025 12:57:01,12/11/2025,1:01:00,1,1,Error de programari o aplicació,De forma aleatòria / intermitent,1,1,1,Alta (impedeix el treball completament)
12/11/2025 11:25:09,9/11/2025,17:11:00,Mohamed,206,Problema de xarxa o connexió a internet,En intentar imprimir o connectar-se a la xarxa,No accede a internet,Z1235-012,Res,Alta (impedeix el treball completament)
12/11/2025 11:33:46,5/10/2025,11:11:00,José,20,Fallada a la impressora o altre perifèric,Durant l'ús d'una aplicació,No va el oracle,B6123-012,Reiniciar unicamente,Alta (impedeix el treball completament)
12/11/2025 11:34:33,11/11/2024,12:42:00,pelé,204,Fallada a la impressora o altre perifèric,En intentar imprimir o connectar-se a la xarxa,No me deja imprimir,P0123-012,He probado a cambiar el cable,Mitjana (afecta parcialment el treball)
12/11/2025 11:34:37,23/02/2004,12:21:00,isudf bokj ,saoigfj sdg,"Error de maquinari (CPU, monitor, teclat, etc.), Error de programari o aplicació",En intentar imprimir o connectar-se a la xarxa,ghadfghdhg,fgagadsg,adfhdgf,Mitjana (afecta parcialment el treball)
12/11/2025 11:35:02,23/03/2006,11:21:00,sdgahjk,lhkjll,"Error de programari o aplicació, Problema de xarxa o connexió a internet",Durant l'ús d'una aplicació,oiñgkhg,hgkrkuty,kyuktrykr,Baixa (no afecta directament la feina)
12/11/2025 11:35:25,31/03/2009,6:03:00,asgtdyt,yjyue,Problema de xarxa o connexió a internet,En intentar imprimir o connectar-se a la xarxa,ejgrtejfe,ytejytj,gjgfjfgegj,Mitjana (afecta parcialment el treball)
12/11/2025 11:36:02,6/05/2020,23:03:00,wsedgtgreerh,tyejefjegj,"Error de maquinari (CPU, monitor, teclat, etc.), Problema de xarxa o connexió a internet, Fallada a la impressora o altre perifèric",De forma aleatòria / intermitent,tykjewwhjwh,ÑLKHFAS-464326436,dgjjg,Alta (impedeix el treball completament)
